record_id,delta_id,route,route_purpose,sample_index,pmid,doi,title,year,journal,url
D05-PUBMED-11-42685390,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",11,42685390,10.1016/j.socscimed.2026.119756,The associations between household food insecurity and cancer: A comprehensive systematic review and meta-analysis of observational studies among adults.,2026,Social science & medicine (1982),https://doi.org/10.1016/j.socscimed.2026.119756
D05-PUBMED-12-42685107,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",12,42685107,10.12968/bjcn.2026.0025,Beyond nutrition: the district nurse's role in addressing loneliness in enteral tube feeding.,2026,British journal of community nursing,https://doi.org/10.12968/bjcn.2026.0025
D05-PUBMED-13-42682101,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",13,42682101,10.1002/jgc4.70281,Experiences and Information Needs of Families of Children With Organic Acid or Fatty Acid Metabolism Disorders in Japan.,2026,Journal of genetic counseling,https://pmc.ncbi.nlm.nih.gov/articles/PMC13535477/
D05-PUBMED-14-42681003,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",14,42681003,10.1007/978-1-0716-5408-8_18,Artificial Intelligence Applications in Bacteriophage Genomics and Host Interaction.,2026,"Methods in molecular biology (Clifton, N.J.)",https://doi.org/10.1007/978-1-0716-5408-8_18
D05-PUBMED-15-42678979,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",15,42678979,10.1371/journal.pgph.0007192,Power and entitlement: Addressing the structural drivers of food insecurity and malnutrition.,2026,PLOS global public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13533347/
D05-PUBMED-16-42678353,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",16,42678353,10.4436/JASS.10406,"Human diets in transition: evolutionary legacies, cultural change and modern food environments.",2026,Journal of anthropological sciences = Rivista di antropologia : JASS,https://doi.org/10.4436/JASS.10406
D05-PUBMED-17-42674360,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",17,42674360,10.1016/j.clnesp.2026.105070,A LASSO-Based Nomogram for the Risk Assessment of Cancer Anorexia in Postoperative Gastric Cancer Patients.,2026,Clinical nutrition ESPEN,https://doi.org/10.1016/j.clnesp.2026.105070
D05-PUBMED-18-42674286,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",18,42674286,10.1016/j.appet.2026.108763,"The NU-HOME RCT home food environment, family meal frequency, meal quality and children's dietary intake and physical activity outcomes.",2026,Appetite,https://doi.org/10.1016/j.appet.2026.108763
D05-PUBMED-19-42671080,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",19,42671080,10.1002/dmrr.70225,Latent Cardiometabolic Phenotypes and Their Sociodemographic Correlates Among US Adults: A Cross-Sectional Latent Class Analysis Using NHANES (2011-2018) Data.,2026,Diabetes/metabolism research and reviews,https://pmc.ncbi.nlm.nih.gov/articles/PMC13528256/
D05-PUBMED-20-42668214,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",20,42668214,10.1016/j.fm.2026.105224,Genomic epidemiology reveals agricultural environments as direct conduits for multidrug-resistant Salmonella ST34 transmission into the food chain.,2027,Food microbiology,https://doi.org/10.1016/j.fm.2026.105224
D05-PUBMED-21-42666507,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",21,42666507,10.1016/j.cdnut.2026.109507,Cross-Lagged Dyadic Associations of Food Insecurity and Depressive Symptoms among Couples Living with HIV and Cardiometabolic Disorders in Malawi.,2026,Current developments in nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13522359/
D05-PUBMED-22-42662826,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",22,42662826,10.3389/fpubh.2026.1907446,From sedentary volume to sedentary content in older inpatients with type 2 diabetes: a multicenter study.,2026,Frontiers in public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13520833/
D05-PUBMED-23-42662260,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",23,42662260,10.1016/j.cdnut.2026.109435,"Adolescent-Selected Food Intake and Engagement with the External Food Environment Contribute to Unhealthy Diets in Accra, Ghana.",2026,Current developments in nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13520089/
D05-PUBMED-24-42660334,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",24,42660334,10.1016/j.amepre.2026.108567,Association between the food environment and the risk of ischemic stroke.,2026,American journal of preventive medicine,https://doi.org/10.1016/j.amepre.2026.108567
D05-PUBMED-25-42659907,D05,C4-SOCIAL-CONTEXT,"social context, food environment, social support, commensality and family/shared meals linked to assessment/care/frameworks",25,42659907,10.1016/j.animal.2026.101914,"Influence of mild pain and/or sickness caused by lipopolysaccharide-induced clinical mastitis on the time budget, space use and social behaviour of dairy cows.",2026,Animal : an international journal of animal bioscience,https://doi.org/10.1016/j.animal.2026.101914
