record_id,delta_id,route,route_purpose,sample_index,pmid,doi,title,year,journal,url
D03-PUBMED-11-42514431,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",11,42514431,10.3390/nu18142363,An Analysis of the Nutritional Value of Diets Generated by Large Language Models Under Average User Conditions-3(LM)Diet Study.,2026,Nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC13415864/
D03-PUBMED-12-42514338,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",12,42514338,10.3390/nu18142269,Nutritional Quality and Environmental Impact of Public School Meals: Evaluation of Current Meals and Potential Benefits of Vegetarian Diets for Sustainable Improvement.,2026,Nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC13416161/
D03-PUBMED-13-42511206,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",13,42511206,10.3390/foods15142459,Assessment of Essential and Toxic Elements in Commercial Diet Catering Meal Plants in Poland: Compliance with Nutritional Recommendations.,2026,"Foods (Basel, Switzerland)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13409429/
D03-PUBMED-14-42466722,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",14,42466722,10.1177/08901171261470240,A Mixed-Methods Approach to Evaluate a Social Media Nutrition Education Program Integrated With Home Food Delivery for Low-Income Pregnant Women.,2026,American journal of health promotion : AJHP,https://doi.org/10.1177/08901171261470240
D03-PUBMED-15-42466307,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",15,42466307,10.1155/ijfo/9969543,A Multinutrient Clustering Framework for Personalized Food Recommendations.,2026,International journal of food science,https://pmc.ncbi.nlm.nih.gov/articles/PMC13373773/
D03-PUBMED-16-42451105,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",16,42451105,10.3390/nu18132101,Critical Nutrients in the Ketogenic Diet for Adolescents Based on Optimized Hypothetical Meal Plans.,2026,Nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC13363485/
D03-PUBMED-17-42426052,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",17,42426052,10.1038/s41598-026-60369-1,Professional burnout among dietitians and the perceived role of artificial intelligence tools.,2026,Scientific reports,https://pmc.ncbi.nlm.nih.gov/articles/PMC13476241/
D03-PUBMED-18-42400478,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",18,42400478,10.1080/21551197.2026.2695588,Exploring AI-Driven Interventions for Preventing and Managing Malnutrition in Older Adults: A Systematic Review.,2026,Journal of nutrition in gerontology and geriatrics,https://doi.org/10.1080/21551197.2026.2695588
D03-PUBMED-19-42369279,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",19,42369279,10.1177/27536130261457409,From the Page to the Plate: Designing an Accessible Nutrition Resource Through Community-Engaged Research.,2026,Global advances in integrative medicine and health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13305787/
D03-PUBMED-20-42361723,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",20,42361723,10.1016/j.nut.2026.113323,"Gluten-free diet plans generated by ChatGPT and Gemini differ in nutrient adequacy, while diet quality and carbon footprint are comparable.",2026,"Nutrition (Burbank, Los Angeles County, Calif.)",https://doi.org/10.1016/j.nut.2026.113323
D03-PUBMED-21-42340992,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",21,42340992,10.1371/journal.pgph.0006685,Perceptions and barriers to dietary fiber intake among middle-aged south Indian women: A qualitative study.,2026,PLOS global public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13293455/
D03-PUBMED-22-42328396,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",22,42328396,10.4103/jehp.jehp_2289_24,The effectiveness of educational intervention based on the theory of planned behavior on nutritional behaviors of type 2 diabetic patients in Northeastern Iran.,2026,Journal of education and health promotion,https://pmc.ncbi.nlm.nih.gov/articles/PMC13278602/
D03-PUBMED-23-42287271,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",23,42287271,10.1016/j.jneb.2026.05.009,Addressing Family Caregivers' Challenges Related to Nutrition and Diet Modification: A Qualitative Exploration to Inform Structured Nutrition-Related Caregiver Training Services.,2026,Journal of nutrition education and behavior,https://doi.org/10.1016/j.jneb.2026.05.009
D03-PUBMED-24-42280298,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",24,42280298,10.3390/nu18111654,Vegetarian and Plant-Based Nutrition in Belgian Hospitals: A Cross-Sectional Study Revealing Gaps and Opportunities for Healthier Food Environments.,2026,Nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC13258568/
D03-PUBMED-25-42254612,D03,C1-CARE-PROCESS,"nutrition care process, models, pathways, prescription and counselling structures",25,42254612,10.3389/fpubh.2026.1780898,Ontology-based dietary recommendation system for Chinese children and adolescents: development and a pilot validation study.,2026,Frontiers in public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13236952/
