record_id,delta_id,route,route_purpose,sample_index,pmid,doi,title,year,journal,url
D04-PUBMED-11-42623876,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",11,42623876,10.1016/j.jhazmat.2026.143327,A combined hazard to mariculture: Quality and safety impairment associated with intestinal barrier disruption in fish co-exposed to environmentally relevant microplastics and antibiotics.,2026,Journal of hazardous materials,https://doi.org/10.1016/j.jhazmat.2026.143327
D04-PUBMED-12-42611926,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",12,42611926,10.1097/XEB.0000000000000644,Nutritional risk management for stroke survivors with dysphagia in a rehabilitation department: a best practice implementation project.,2026,JBI evidence implementation,https://doi.org/10.1097/XEB.0000000000000644
D04-PUBMED-13-42608987,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",13,42608987,10.1002/ncp.70171,"A structured multidisciplinary home parenteral nutrition program in a public healthcare system: Implementation model, nursing-led training protocol, and 11-year safety outcomes.",2026,Nutrition in clinical practice : official publication of the American Society for Parenteral and Enteral Nutrition,https://doi.org/10.1002/ncp.70171
D04-PUBMED-14-42600060,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",14,42600060,10.1113/EP092880,Exploring lifestyle management in polycystic ovary syndrome through implementation frameworks.,2026,Experimental physiology,https://pmc.ncbi.nlm.nih.gov/articles/PMC13475995/
D04-PUBMED-15-42595393,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",15,42595393,10.1093/eurpub/ckag143,Disparities in practice: implementation of health promotion policies in 2883 Hungarian schools with a focus on small-sized institutions.,2026,European journal of public health,https://pmc.ncbi.nlm.nih.gov/articles/PMC13472674/
D04-PUBMED-16-42588685,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",16,42588685,10.3390/cancers18152468,Digital Nutritional Care in Oncology: Opportunities to Enhance Quality of Life and Support Patient-Centered Care.,2026,Cancers,https://pmc.ncbi.nlm.nih.gov/articles/PMC13465412/
D04-PUBMED-17-42587918,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",17,42587918,10.3390/foods15152658,"Integrating Food Safety, Nutrition Security, and Sustainability Indicators for Food System Monitoring in Low- and Middle-Income Countries: A Structured Methodological Review and Framework Development Study.",2026,"Foods (Basel, Switzerland)",https://pmc.ncbi.nlm.nih.gov/articles/PMC13465436/
D04-PUBMED-18-42586582,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",18,42586582,10.1136/bmjoq-2026-004174,Development of a checklist to support management of older patients with Clostridioides difficile infection.,2026,BMJ open quality,https://pmc.ncbi.nlm.nih.gov/articles/PMC13475560/
D04-PUBMED-19-42570350,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",19,42570350,10.1016/j.ejso.2026.112047,Patient and public involvement in the co-design of a multicenter randomized controlled trial on prehabilitation: results from the PREHAB-PEER conceptual phase.,2026,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology,https://doi.org/10.1016/j.ejso.2026.112047
D04-PUBMED-20-42558957,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",20,42558957,10.1093/haschl/qxag179,"Health system-community partnerships in a Medicaid nutrition and housing program, 2020-2023: a mixed-methods evaluation.",2026,Health affairs scholar,https://pmc.ncbi.nlm.nih.gov/articles/PMC13439125/
D04-PUBMED-21-42554005,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",21,42554005,10.1111/1747-0080.70088,"Marginalism, racism and tokenism: A composite narrative of Indigenous Māori dietitian experiences.",2026,Nutrition & dietetics : the journal of the Dietitians Association of Australia,https://doi.org/10.1111/1747-0080.70088
D04-PUBMED-22-42553572,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",22,42553572,10.7759/cureus.112070,Postprandial Glycemic Responses to Rice Porridge Versus Cooked Rice in Healthy Young Adults: A Randomized Controlled Crossover Study.,2026,Cureus,https://pmc.ncbi.nlm.nih.gov/articles/PMC13434225/
D04-PUBMED-23-42539019,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",23,42539019,10.64898/2026.07.21.26358401,Village-level surveillance of neonatal disease with integrated real-time dashboards and quality-control in Uganda.,2026,medRxiv : the preprint server for health sciences,https://pmc.ncbi.nlm.nih.gov/articles/PMC13419489/
D04-PUBMED-24-42514370,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",24,42514370,10.3390/nu18142301,Effectiveness of Health Systems Strengthening Implementation Model to Improve Health of Pregnant and Lactating Women by Increasing Compliance with IFA and Calcium Tablets: A Quasi-Experimental Study.,2026,Nutrients,https://pmc.ncbi.nlm.nih.gov/articles/PMC13416310/
D04-PUBMED-25-42500256,D04,C3-IMPLEMENTATION,"implementation, delivery, adoption and operationalization of nutrition-related models and practices",25,42500256,10.3389/fnut.2026.1829703,Multimodal LLM-driven IoT digital healthcare platform for intelligent dysphagia dietary monitoring.,2026,Frontiers in nutrition,https://pmc.ncbi.nlm.nih.gov/articles/PMC13398057/
